date,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
1/6/2019,10,0,0,0,0,1,0,0
1/13/2019,9,0,0,0,0,0,0,0
1/20/2019,8,0,0,0,0,0,0,0
1/27/2019,10,0,0,0,3,0,0,0
2/3/2019,10,0,0,0,0,0,0,1
2/10/2019,7,0,0,0,3,0,0,1
2/17/2019,12,0,0,0,3,0,0,0
2/24/2019,10,0,0,0,3,0,0,0
3/3/2019,8,0,0,0,3,0,0,0
3/10/2019,8,0,0,0,0,0,0,0
3/17/2019,7,0,0,0,3,1,0,0
3/24/2019,7,0,0,0,3,0,0,0
3/31/2019,10,0,0,0,0,2,0,0
4/7/2019,10,0,0,0,3,0,0,1
4/14/2019,9,0,0,0,0,1,0,0
4/21/2019,9,0,0,0,3,1,0,0
4/28/2019,9,0,0,0,0,0,0,0
5/5/2019,8,0,0,0,0,0,0,0
5/12/2019,10,0,0,0,3,1,0,0
5/19/2019,10,0,0,0,4,0,0,0
5/26/2019,13,0,0,0,3,0,0,1
6/2/2019,11,0,0,0,3,1,0,0
6/9/2019,9,0,0,0,3,0,0,0
6/16/2019,9,0,0,0,7,1,0,0
6/23/2019,9,0,0,0,0,0,0,0
6/30/2019,8,0,0,0,3,0,0,0
7/7/2019,8,0,0,0,6,0,0,0
7/14/2019,8,0,0,0,0,1,0,0
7/21/2019,8,0,0,0,6,1,0,0
7/28/2019,8,0,0,0,3,0,0,0
8/4/2019,8,0,0,0,3,0,0,0
8/11/2019,7,0,0,0,0,1,19,0
8/18/2019,8,0,0,0,0,0,0,0
8/25/2019,8,0,0,0,3,0,0,0
9/1/2019,8,0,0,0,0,1,0,0
9/8/2019,7,0,0,0,3,1,0,1
9/15/2019,9,0,0,0,0,1,0,0
9/22/2019,8,0,0,0,3,1,0,0
9/29/2019,7,0,0,0,0,0,0,0
10/6/2019,7,0,0,0,0,1,0,0
10/13/2019,9,0,0,0,3,1,0,0
10/20/2019,8,0,0,0,0,0,0,0
10/27/2019,8,0,0,0,0,1,0,0
11/3/2019,7,0,0,0,0,0,0,0
11/10/2019,7,0,0,0,0,0,0,0
11/17/2019,8,0,0,0,3,1,0,0
11/24/2019,8,0,0,0,0,0,0,0
12/1/2019,9,0,0,0,0,2,0,0
12/8/2019,9,0,0,0,3,1,0,0
12/15/2019,7,0,0,0,3,0,0,0
12/22/2019,9,0,0,0,0,0,0,0
12/29/2019,9,0,0,0,0,0,0,0
1/5/2020,7,0,0,0,3,0,0,1
1/12/2020,9,0,0,0,0,1,17,0
1/19/2020,9,0,0,0,0,1,0,0
1/26/2020,9,2,1,1,3,1,0,0
2/2/2020,11,2,2,1,0,0,0,0
2/9/2020,10,1,2,2,0,0,0,0
2/16/2020,10,1,0,1,2,2,0,0
2/23/2020,12,6,5,1,5,1,0,0
3/1/2020,10,7,7,2,0,2,0,0
3/8/2020,11,21,19,12,6,4,0,1
3/15/2020,20,37,38,19,24,10,16,1
3/22/2020,21,32,33,22,19,5,16,1
3/29/2020,57,91,100,100,100,65,100,6
4/5/2020,100,100,96,89,84,100,72,100
4/12/2020,24,41,33,29,17,17,0,2
4/19/2020,25,30,30,13,52,10,0,2
