week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
2020-01-01 2020-01-08,Alabama,14,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Alaska,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Arizona,17,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Arkansas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,California,13,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Colorado,9,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Connecticut,15,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Delaware,64,0,0,0,0,0,0,0
2020-01-01 2020-01-08,District of Columbia,52,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Florida,8,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Georgia,8,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Hawaii,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Idaho,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Illinois,12,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Indiana,30,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Iowa,21,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Kansas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Kentucky,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Louisiana,15,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Maine,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Maryland,9,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Massachusetts,7,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Michigan,18,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Minnesota,25,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Mississippi,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Missouri,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Montana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Nebraska,61,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Nevada,57,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Hampshire,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Jersey,23,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Mexico,33,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New York,10,0,0,0,0,0,0,0
2020-01-01 2020-01-08,North Carolina,7,0,0,0,0,0,0,0
2020-01-01 2020-01-08,North Dakota,89,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Ohio,7,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Oklahoma,19,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Oregon,28,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Pennsylvania,13,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Rhode Island,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,South Carolina,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,South Dakota,87,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Tennessee,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Texas,8,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Utah,37,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Vermont,100,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Virginia,6,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Washington,26,0,0,0,0,0,0,0
2020-01-01 2020-01-08,West Virginia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Wisconsin,10,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Wyoming,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Alabama,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Alaska,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Arizona,26,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Arkansas,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,California,17,0,0,0,0,15,0,0
2020-01-08 2020-01-15,Colorado,29,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Connecticut,23,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Delaware,100,0,0,0,0,0,0,0
2020-01-08 2020-01-15,District of Columbia,70,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Florida,10,0,0,0,0,26,0,0
