date,bat soup,coronavirus bat soup,china bat soup,chinese bat soup,wuhan bat soup,bat soup virus
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,1,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,1,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,1,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,2,0,0,0,0,0
2020-01-19,1,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,37,37,11,22,30,51
2020-01-24,80,78,49,40,72,76
2020-01-25,96,95,100,100,58,45
2020-01-26,100,89,84,72,65,87
2020-01-27,87,72,70,59,86,64
2020-01-28,81,72,81,48,93,100
2020-01-29,82,93,39,18,95,81
2020-01-30,83,100,54,68,100,56
2020-01-31,72,89,65,50,42,77
2020-02-01,61,60,25,47,39,29
2020-02-02,49,53,45,26,17,49
2020-02-03,28,37,13,24,21,23
2020-02-04,36,35,17,22,22,21
2020-02-05,22,30,14,18,22,29
2020-02-06,23,21,7,9,15,8
2020-02-07,24,22,7,9,8,21
2020-02-08,25,25,16,21,22,10
2020-02-09,24,23,8,16,9,10
2020-02-10,19,22,10,9,15,37
2020-02-11,16,26,10,17,7,20
2020-02-12,15,34,7,9,11,16
2020-02-13,14,16,3,0,30,13
2020-02-14,9,18,7,18,0,9
2020-02-15,15,17,25,0,0,29
2020-02-16,12,8,8,0,0,20
2020-02-17,11,13,0,19,8,18
2020-02-18,7,7,0,8,14,12
2020-02-19,5,3,0,0,0,0
2020-02-20,7,14,3,9,7,12
2020-02-21,8,14,10,17,15,8
2020-02-22,11,12,16,0,17,14
2020-02-23,7,16,4,10,0,19
2020-02-24,8,15,0,9,7,0
2020-02-25,9,20,13,13,14,0
2020-02-26,14,20,13,0,14,8
2020-02-27,20,34,0,8,14,24
2020-02-28,17,24,7,13,7,12
2020-02-29,21,38,16,30,29,28
2020-03-01,11,6,8,15,0,14
2020-03-02,21,25,10,8,35,12
2020-03-03,17,21,3,16,14,8
2020-03-04,13,15,0,8,10,16
2020-03-05,19,24,7,17,22,20
2020-03-06,22,22,0,13,7,8
2020-03-07,17,8,4,15,17,33
2020-03-08,14,20,0,15,8,24
2020-03-09,18,19,7,17,11,24
2020-03-10,18,25,3,17,18,16
2020-03-11,24,28,13,21,18,36
2020-03-12,47,61,23,57,48,46
2020-03-13,47,65,10,29,25,67
2020-03-14,47,70,16,15,34,47
2020-03-15,58,95,15,34,33,37
2020-03-16,48,75,17,37,21,28
2020-03-17,42,46,30,25,21,31
2020-03-18,42,45,13,17,25,39
2020-03-19,38,30,37,13,21,24
2020-03-20,34,26,10,33,34,23
2020-03-21,33,43,7,9,24,27
2020-03-22,25,24,8,28,20,9
2020-03-23,20,17,0,19,20,29
2020-03-24,22,16,10,12,7,12
2020-03-25,22,22,10,21,14,12
2020-03-26,21,17,13,17,7,0
2020-03-27,16,20,6,16,7,8
2020-03-28,16,20,7,14,12,18
2020-03-29,17,13,4,9,8,9
2020-03-30,10,5,3,24,33,7
2020-03-31,9,9,9,20,7,7
2020-04-01,14,13,3,24,10,15
2020-04-02,11,16,0,0,7,15
2020-04-03,15,13,16,0,7,8
2020-04-04,12,5,11,9,0,9
2020-04-05,10,7,4,18,8,17
2020-04-06,13,11,9,0,7,7
2020-04-07,7,10,6,0,0,0
2020-04-08,8,5,6,8,7,8
2020-04-09,7,3,3,12,7,7
2020-04-10,8,10,3,8,7,8
2020-04-11,10,6,7,9,8,0
2020-04-12,8,4,4,0,0,0
2020-04-13,5,3,6,8,14,0
2020-04-14,8,3,3,0,7,7
2020-04-15,5,12,0,0,0,0
2020-04-16,5,3,0,15,0,7
2020-04-17,6,8,6,8,6,0
2020-04-18,7,7,0,9,7,8
2020-04-19,4,5,4,0,0,0
2020-04-20,3,0,3,0,0,0
2020-04-21,3,6,3,0,0,0
2020-04-22,4,9,0,16,0,0
2020-04-23,3,0,3,8,0,7
2020-04-24,3,6,0,0,0,7
