date,bat soup,coronavirus bat soup,china bat soup,chinese bat soup,wuhan bat soup,bat soup virus
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,1,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,1,0,1,0,3,0
2020-01-23,42,27,32,32,65,52
2020-01-24,94,61,58,75,100,83
2020-01-25,100,100,100,100,87,100
2020-01-26,96,90,80,89,84,95
2020-01-27,84,82,69,89,87,83
2020-01-28,77,62,55,76,81,76
2020-01-29,79,64,50,69,61,57
2020-01-30,83,62,42,92,75,55
2020-01-31,79,72,62,78,60,73
2020-02-01,58,49,50,54,33,53
2020-02-02,39,36,30,33,20,36
2020-02-03,32,27,23,21,12,23
2020-02-04,31,21,21,18,16,20
2020-02-05,22,17,14,20,13,18
2020-02-06,21,20,12,11,12,13
2020-02-07,21,14,15,23,9,15
2020-02-08,24,22,16,20,20,22
2020-02-09,18,20,10,22,13,14
2020-02-10,14,13,13,22,13,16
2020-02-11,14,15,10,17,6,17
2020-02-12,16,10,5,13,6,11
2020-02-13,14,14,7,13,7,14
2020-02-14,9,9,5,12,9,11
2020-02-15,12,13,12,13,5,6
2020-02-16,9,11,7,12,3,4
2020-02-17,9,7,6,9,9,11
2020-02-18,8,10,6,9,3,12
2020-02-19,5,6,4,11,6,3
2020-02-20,7,6,5,4,3,7
2020-02-21,5,3,5,7,7,0
2020-02-22,8,5,6,5,6,4
2020-02-23,6,6,4,10,3,8
2020-02-24,7,8,4,7,7,5
2020-02-25,9,3,7,9,0,5
2020-02-26,13,11,4,6,4,8
2020-02-27,14,14,6,11,3,10
2020-02-28,15,15,9,22,10,18
2020-02-29,13,9,8,19,14,15
2020-03-01,11,8,8,19,3,23
2020-03-02,14,10,4,17,8,7
2020-03-03,13,12,5,8,0,0
2020-03-04,14,10,6,19,7,10
2020-03-05,15,18,4,15,8,14
2020-03-06,13,9,7,15,9,10
2020-03-07,14,10,5,7,6,19
2020-03-08,13,12,5,19,5,10
2020-03-09,13,10,6,9,8,8
2020-03-10,14,16,6,11,12,12
2020-03-11,17,17,6,15,15,25
2020-03-12,32,33,20,27,19,28
2020-03-13,36,38,11,26,18,36
2020-03-14,43,41,18,19,17,36
2020-03-15,41,47,21,26,25,32
2020-03-16,37,26,12,31,16,38
2020-03-17,32,26,12,21,20,28
2020-03-18,30,26,11,6,23,20
2020-03-19,29,24,16,17,17,19
2020-03-20,25,13,10,19,16,12
2020-03-21,25,19,7,21,17,19
2020-03-22,19,18,11,9,15,22
2020-03-23,17,9,8,23,8,11
2020-03-24,14,10,7,29,9,16
2020-03-25,15,11,8,21,7,8
2020-03-26,12,10,10,10,5,10
2020-03-27,15,11,7,12,3,5
2020-03-28,11,14,6,21,18,4
2020-03-29,12,10,6,5,3,11
2020-03-30,9,5,4,20,6,8
2020-03-31,11,6,5,10,5,10
2020-04-01,10,6,6,18,3,6
2020-04-02,7,5,2,8,5,5
2020-04-03,10,5,4,4,11,10
2020-04-04,11,5,2,9,6,5
2020-04-05,8,5,5,7,5,4
2020-04-06,7,6,3,12,3,3
2020-04-07,7,5,3,4,3,3
2020-04-08,5,3,5,4,0,0
2020-04-09,5,2,3,4,4,3
2020-04-10,5,1,3,9,0,4
2020-04-11,7,4,3,9,5,4
2020-04-12,6,2,2,9,3,4
2020-04-13,4,5,5,4,5,3
2020-04-14,6,7,3,8,4,0
2020-04-15,4,2,1,4,3,3
2020-04-16,4,2,3,8,0,0
2020-04-17,6,2,3,4,4,10
2020-04-18,4,3,5,5,6,7
2020-04-19,3,3,2,5,3,4
2020-04-20,3,0,1,8,0,0
2020-04-21,3,2,1,4,0,3
2020-04-22,3,2,2,4,0,3
2020-04-23,4,2,3,8,0,3
2020-04-24,3,4,2,4,3,0
