date,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,20,0,0,0
2020-01-21,14,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,4,0,5,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,18,0,6,0,15,48,0,0,0
2020-01-25,17,21,0,14,0,17,90,5,29,40
2020-01-26,39,39,0,19,0,18,42,5,27,38
2020-01-27,27,17,0,50,0,16,100,7,35,32
2020-01-28,14,53,84,41,0,12,67,9,60,69
2020-01-29,29,18,0,41,0,8,68,9,0,0
2020-01-30,0,18,88,43,0,23,59,5,25,71
2020-01-31,58,54,87,72,0,8,49,0,50,35
2020-02-01,17,0,100,21,0,7,68,0,28,40
2020-02-02,33,41,0,20,0,0,33,5,29,40
2020-02-03,13,0,77,38,0,6,61,0,22,32
2020-02-04,0,18,0,53,0,16,19,0,0,34
2020-02-05,14,0,0,18,0,4,19,5,0,35
2020-02-06,0,0,0,6,0,8,19,5,0,0
2020-02-07,14,18,0,6,0,0,20,0,100,0
2020-02-08,17,21,0,21,0,14,45,11,0,0
2020-02-09,17,0,0,28,0,7,22,11,29,0
2020-02-10,28,17,0,17,0,10,19,5,24,67
2020-02-11,21,17,0,23,0,6,18,4,0,0
