,geoName,week,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon
0,Alabama,2020-01-01 2020-01-08,0,0,0,0,0
1,Alaska,2020-01-01 2020-01-08,0,0,0,0,0
2,Arizona,2020-01-01 2020-01-08,0,0,0,0,0
3,Arkansas,2020-01-01 2020-01-08,0,0,0,0,0
4,California,2020-01-01 2020-01-08,0,0,0,0,0
5,Colorado,2020-01-01 2020-01-08,0,0,0,0,0
6,Connecticut,2020-01-01 2020-01-08,0,0,0,0,0
7,Delaware,2020-01-01 2020-01-08,0,0,0,0,0
8,District of Columbia,2020-01-01 2020-01-08,0,0,0,0,0
9,Florida,2020-01-01 2020-01-08,0,0,0,0,0
10,Georgia,2020-01-01 2020-01-08,0,0,0,0,0
11,Hawaii,2020-01-01 2020-01-08,0,0,0,0,0
12,Idaho,2020-01-01 2020-01-08,0,0,0,0,0
13,Illinois,2020-01-01 2020-01-08,0,0,0,0,0
14,Indiana,2020-01-01 2020-01-08,0,0,0,0,0
15,Iowa,2020-01-01 2020-01-08,0,0,0,0,0
16,Kansas,2020-01-01 2020-01-08,0,0,0,0,0
17,Kentucky,2020-01-01 2020-01-08,0,0,0,0,0
18,Louisiana,2020-01-01 2020-01-08,0,0,0,0,0
19,Maine,2020-01-01 2020-01-08,0,0,0,0,0
20,Maryland,2020-01-01 2020-01-08,0,0,0,0,0
21,Massachusetts,2020-01-01 2020-01-08,0,0,0,0,0
22,Michigan,2020-01-01 2020-01-08,0,0,0,0,0
23,Minnesota,2020-01-01 2020-01-08,0,0,0,0,0
24,Mississippi,2020-01-01 2020-01-08,0,0,0,0,0
25,Missouri,2020-01-01 2020-01-08,0,0,0,0,0
26,Montana,2020-01-01 2020-01-08,0,0,0,0,0
27,Nebraska,2020-01-01 2020-01-08,0,0,0,0,0
28,Nevada,2020-01-01 2020-01-08,0,0,0,0,0
29,New Hampshire,2020-01-01 2020-01-08,0,0,0,0,0
30,New Jersey,2020-01-01 2020-01-08,0,0,0,0,0
31,New Mexico,2020-01-01 2020-01-08,0,0,0,0,0
32,New York,2020-01-01 2020-01-08,0,0,0,0,0
33,North Carolina,2020-01-01 2020-01-08,0,0,0,0,0
34,North Dakota,2020-01-01 2020-01-08,0,0,0,0,0
35,Ohio,2020-01-01 2020-01-08,0,0,0,0,0
36,Oklahoma,2020-01-01 2020-01-08,0,0,0,0,0
37,Oregon,2020-01-01 2020-01-08,0,0,0,0,0
38,Pennsylvania,2020-01-01 2020-01-08,0,0,0,0,0
39,Rhode Island,2020-01-01 2020-01-08,0,0,0,0,0
40,South Carolina,2020-01-01 2020-01-08,0,0,0,0,0
41,South Dakota,2020-01-01 2020-01-08,0,0,0,0,0
42,Tennessee,2020-01-01 2020-01-08,0,0,0,0,0
43,Texas,2020-01-01 2020-01-08,0,0,0,0,0
44,Utah,2020-01-01 2020-01-08,0,0,0,0,0
45,Vermont,2020-01-01 2020-01-08,0,0,0,0,0
46,Virginia,2020-01-01 2020-01-08,0,0,0,0,0
47,Washington,2020-01-01 2020-01-08,0,0,0,0,0
48,West Virginia,2020-01-01 2020-01-08,0,0,0,0,0
49,Wisconsin,2020-01-01 2020-01-08,0,0,0,0,0
50,Wyoming,2020-01-01 2020-01-08,0,0,0,0,0
51,Alabama,2020-01-08 2020-01-15,0,0,0,0,0
52,Alaska,2020-01-08 2020-01-15,0,0,0,0,0
53,Arizona,2020-01-08 2020-01-15,0,0,0,0,0
54,Arkansas,2020-01-08 2020-01-15,0,0,0,0,0
55,California,2020-01-08 2020-01-15,0,0,0,0,0
56,Colorado,2020-01-08 2020-01-15,0,0,0,0,0
57,Connecticut,2020-01-08 2020-01-15,0,0,0,0,0
58,Delaware,2020-01-08 2020-01-15,0,0,0,0,0
59,District of Columbia,2020-01-08 2020-01-15,0,0,0,0,0
60,Florida,2020-01-08 2020-01-15,0,0,0,0,0
61,Georgia,2020-01-08 2020-01-15,0,0,0,0,0
62,Hawaii,2020-01-08 2020-01-15,0,0,0,0,0
63,Idaho,2020-01-08 2020-01-15,0,0,0,0,0
