,week,State,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
0,2020-01-01 2020-01-08,Alabama,0,0,0,0,0,0,0,0,0,0
1,2020-01-01 2020-01-08,Alaska,0,0,0,0,0,0,0,0,0,0
2,2020-01-01 2020-01-08,Arizona,0,0,0,0,0,0,0,0,0,0
3,2020-01-01 2020-01-08,Arkansas,0,0,0,0,0,0,0,0,0,0
4,2020-01-01 2020-01-08,California,0,0,0,0,0,0,0,0,0,0
5,2020-01-01 2020-01-08,Colorado,0,0,0,0,0,0,0,0,0,0
6,2020-01-01 2020-01-08,Connecticut,0,0,0,0,0,0,0,0,0,0
7,2020-01-01 2020-01-08,Delaware,0,0,0,0,0,0,0,0,0,0
8,2020-01-01 2020-01-08,District of Columbia,0,0,0,0,0,0,0,0,0,0
9,2020-01-01 2020-01-08,Florida,0,0,0,0,0,0,0,0,0,0
10,2020-01-01 2020-01-08,Georgia,0,0,0,0,0,0,0,0,0,0
11,2020-01-01 2020-01-08,Hawaii,0,0,0,0,0,0,0,0,0,0
12,2020-01-01 2020-01-08,Idaho,0,0,0,0,0,0,0,0,0,0
13,2020-01-01 2020-01-08,Illinois,0,0,0,0,0,0,0,0,0,0
14,2020-01-01 2020-01-08,Indiana,0,0,0,0,0,0,0,0,0,0
15,2020-01-01 2020-01-08,Iowa,0,0,0,0,0,0,0,0,0,0
16,2020-01-01 2020-01-08,Kansas,0,0,0,0,0,0,0,0,0,0
17,2020-01-01 2020-01-08,Kentucky,0,0,0,0,0,0,0,0,0,0
18,2020-01-01 2020-01-08,Louisiana,0,0,0,0,0,0,0,0,0,0
19,2020-01-01 2020-01-08,Maine,0,0,0,0,0,0,0,0,0,0
20,2020-01-01 2020-01-08,Maryland,0,0,0,0,0,0,0,0,0,0
21,2020-01-01 2020-01-08,Massachusetts,0,0,0,0,0,0,0,0,0,0
22,2020-01-01 2020-01-08,Michigan,0,0,0,0,0,0,0,0,0,0
23,2020-01-01 2020-01-08,Minnesota,0,0,0,0,0,0,0,0,0,0
24,2020-01-01 2020-01-08,Mississippi,0,0,0,0,0,0,0,0,0,0
25,2020-01-01 2020-01-08,Missouri,0,0,0,0,0,0,0,0,0,0
26,2020-01-01 2020-01-08,Montana,0,0,0,0,0,0,0,0,0,0
27,2020-01-01 2020-01-08,Nebraska,0,0,0,0,0,0,0,0,0,0
28,2020-01-01 2020-01-08,Nevada,0,0,0,0,0,0,0,0,0,0
29,2020-01-01 2020-01-08,New Hampshire,0,0,0,0,0,0,0,0,0,0
30,2020-01-01 2020-01-08,New Jersey,0,0,0,0,0,0,0,0,0,0
31,2020-01-01 2020-01-08,New Mexico,0,0,0,0,0,0,0,0,0,0
32,2020-01-01 2020-01-08,New York,0,0,0,0,0,0,0,0,0,0
33,2020-01-01 2020-01-08,North Carolina,0,0,0,0,0,0,0,0,0,0
34,2020-01-01 2020-01-08,North Dakota,0,0,0,0,0,0,0,0,0,0
35,2020-01-01 2020-01-08,Ohio,0,0,0,0,0,0,0,0,0,0
36,2020-01-01 2020-01-08,Oklahoma,0,0,0,0,0,0,0,0,0,0
37,2020-01-01 2020-01-08,Oregon,0,0,0,0,0,0,0,0,0,0
38,2020-01-01 2020-01-08,Pennsylvania,0,0,0,0,0,0,0,0,0,0
39,2020-01-01 2020-01-08,Rhode Island,0,0,0,0,0,0,0,0,0,0
40,2020-01-01 2020-01-08,South Carolina,0,0,0,0,0,0,0,0,0,0
41,2020-01-01 2020-01-08,South Dakota,0,0,0,0,0,0,0,0,0,0
42,2020-01-01 2020-01-08,Tennessee,0,0,0,0,0,0,0,0,0,0
43,2020-01-01 2020-01-08,Texas,0,0,0,0,0,0,0,0,0,0
44,2020-01-01 2020-01-08,Utah,0,0,0,0,0,0,0,0,0,0
45,2020-01-01 2020-01-08,Vermont,0,0,0,0,0,0,0,0,0,0
46,2020-01-01 2020-01-08,Virginia,0,0,0,0,0,0,0,0,0,0
47,2020-01-01 2020-01-08,Washington,0,0,0,0,0,0,0,0,0,0
48,2020-01-01 2020-01-08,West Virginia,0,0,0,0,0,0,0,0,0,0
49,2020-01-01 2020-01-08,Wisconsin,0,0,0,0,0,0,0,0,0,0
50,2020-01-01 2020-01-08,Wyoming,0,0,0,0,0,0,0,0,0,0
