date,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,19,0
2020-01-11,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,2,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,4,0,9,10,0,0,0
2020-01-23,7,0,0,5,0,4,20,0,37,24
2020-01-24,7,0,0,5,0,11,37,0,0,25
2020-01-25,12,11,0,10,0,26,64,6,53,55
2020-01-26,16,16,0,47,0,30,78,9,82,54
2020-01-27,18,28,0,43,0,37,99,13,54,24
2020-01-28,29,38,0,42,0,24,100,15,92,84
2020-01-29,36,33,0,55,0,24,85,10,64,47
2020-01-30,30,14,36,45,0,20,41,10,85,49
2020-01-31,19,15,0,51,0,8,58,5,77,25
2020-02-01,16,11,40,45,0,7,34,8,31,27
2020-02-02,33,21,40,63,0,16,17,0,21,82
2020-02-03,27,26,33,51,0,8,42,13,17,22
2020-02-04,14,9,0,28,0,8,15,3,37,0
2020-02-05,14,9,0,26,0,3,30,3,18,0
2020-02-06,7,19,0,21,0,10,30,7,0,49
2020-02-07,15,0,0,24,0,8,31,11,29,0
2020-02-08,8,21,0,43,0,5,11,4,0,27
2020-02-09,40,16,0,27,0,12,33,4,20,40
2020-02-10,21,18,0,34,0,10,19,10,54,35
2020-02-11,17,23,0,32,0,5,24,10,44,35
