date,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-01-01,0,0.0,0,0,0,0,0,0
2020-01-02,0,0.0,0,0,0,0,0,0
2020-01-03,0,0.0,0,0,0,0,0,0
2020-01-04,0,0.0,0,0,0,0,0,0
2020-01-05,0,0.0,0,0,0,0,0,0
2020-01-06,0,0.0,0,0,0,0,0,0
2020-01-07,0,0.0,0,0,0,0,0,0
2020-01-08,0,0.0,0,0,0,0,0,0
2020-01-09,0,0.0,0,0,0,0,0,0
2020-01-10,0,0.0,0,0,0,0,0,0
2020-01-11,0,0.0,0,0,0,0,0,0
2020-01-12,0,0.0,0,0,0,0,0,0
2020-01-13,0,0.0,0,0,0,0,0,0
2020-01-14,0,0.0,0,0,0,0,0,0
2020-01-15,0,0.0,0,0,0,0,0,0
2020-01-16,0,0.0,0,0,0,0,0,0
2020-01-17,0,0.0,0,0,0,0,0,0
2020-01-18,0,0.0,0,0,0,0,0,0
2020-01-19,0,0.0,0,0,0,0,0,0
2020-01-20,0,0.0,0,0,0,0,0,0
2020-01-21,0,0.0,0,0,0,0,0,0
2020-01-22,0,0.0,0,15,0,0,0,86
2020-01-23,0,0.0,0,15,0,29,0,0
2020-01-24,8,19.0,13,47,0,29,0,86
2020-01-25,12,0.0,10,54,16,0,21,0
2020-01-26,9,0.0,0,50,7,0,39,92
2020-01-27,11,18.0,20,88,19,0,0,81
2020-01-28,3,19.0,8,61,16,28,18,0
2020-01-29,7,0.0,8,100,7,57,27,0
2020-01-30,9,0.0,17,39,7,29,18,0
2020-01-31,10,0.0,8,31,0,29,28,0
2020-02-01,13,23.0,0,36,8,0,0,0
2020-02-02,3,0.0,0,54,0,33,21,100
2020-02-03,5,0.0,15,56,6,26,0,78
2020-02-04,7,0.0,8,15,0,42,18,0
2020-02-05,7,0.0,0,15,13,0,0,0
2020-02-06,7,38.0,12,15,0,0,0,0
2020-02-07,6,19.0,0,0,0,59,19,0
2020-02-08,5,22.0,10,18,8,0,21,0
2020-02-09,7,0.0,0,18,12,0,42,100
2020-02-10,9,0.0,8,15,0,55,34,0
2020-02-11,12,37.0,0,15,6,41,0,82
2020-02-12,4,19.0,0,0,0,56,18,0
2020-02-13,4,0.0,8,23,7,56,0,0
2020-02-14,6,20.0,9,0,0,29,0,0
2020-02-15,3,0.0,0,0,8,66,21,0
2020-02-16,10,0.0,14,36,12,0,31,99
2020-02-17,9,20.0,17,40,0,30,19,0
2020-02-18,4,0.0,8,15,13,0,17,0
2020-02-19,3,19.0,0,0,13,27,35,0
2020-02-20,4,0.0,0,29,6,54,26,0
2020-02-21,4,0.0,0,15,0,0,0,0
2020-02-22,3,0.0,0,17,11,32,0,0
2020-02-23,3,0.0,19,26,7,0,0,0
2020-02-24,4,0.0,8,15,0,27,0,0
2020-02-25,4,0.0,8,44,6,0,0,0
2020-02-26,5,0.0,8,28,6,0,100,0
2020-02-27,5,36.0,8,15,6,0,17,0
2020-02-28,7,19.0,8,37,16,28,18,0
2020-02-29,5,43.0,9,26,7,0,0,0
2020-03-01,5,0.0,0,17,0,0,20,0
2020-03-02,3,18.0,0,22,9,27,0,0
2020-03-03,5,0.0,8,0,6,0,0,0
2020-03-04,3,0.0,8,14,0,26,0,0
2020-03-05,3,18.0,16,22,6,0,34,0
2020-03-06,4,0.0,8,0,0,0,17,0
2020-03-07,3,22.0,9,0,0,32,20,0
2020-03-08,11,43.0,9,0,7,0,0,0
2020-03-09,3,0.0,0,15,0,27,17,0
2020-03-10,4,18.0,8,43,6,27,34,0
2020-03-11,7,18.0,8,29,19,27,17,0
2020-03-12,14,0.0,15,14,9,26,49,78
2020-03-13,11,54.0,16,58,28,0,67,0
2020-03-14,6,21.0,14,17,7,0,20,0
2020-03-15,11,0.0,9,67,7,0,39,94
2020-03-16,10,54.0,8,29,6,26,25,0
2020-03-17,13,0.0,31,57,9,0,17,80
2020-03-18,4,54.0,8,29,16,0,67,0
2020-03-19,14,0.0,16,22,9,0,26,0
2020-03-20,9,18.0,15,28,9,0,41,0
2020-03-21,10,0.0,9,32,10,0,19,0
2020-03-22,10,41.0,9,41,11,0,19,92
2020-03-23,2,17.0,7,20,9,0,31,0
2020-03-24,6,0.0,11,28,6,0,17,0
2020-03-25,3,18.0,8,43,19,0,17,0
2020-03-26,4,18.0,12,22,9,27,17,0
2020-03-27,7,17.0,7,27,6,0,16,0
2020-03-28,6,20.0,13,32,14,30,19,0
2020-03-29,6,0.0,0,48,14,0,19,0
2020-03-30,5,34.0,7,55,6,0,32,0
2020-03-31,6,17.0,22,0,6,25,16,0
2020-04-01,19,34.0,30,21,18,0,0,0
2020-04-02,6,0.0,0,55,21,0,0,76
2020-04-03,6,35.0,8,14,18,0,16,0
2020-04-04,13,0.0,17,16,17,29,19,0
2020-04-05,7,20.0,13,56,7,29,0,0
2020-04-06,10,0.0,7,41,18,0,24,0
2020-04-07,10,35.0,11,21,12,26,16,0
2020-04-08,8,17.0,15,28,6,25,16,0
2020-04-09,5,0.0,0,14,6,0,16,0
2020-04-10,5,0.0,0,14,6,0,0,0
2020-04-11,9,20.0,9,16,7,44,19,0
2020-04-12,3,0.0,17,16,14,0,0,0
2020-04-13,5,0.0,11,28,9,25,16,0
2020-04-14,16,51.0,14,27,26,100,0,0
2020-04-15,38,0.0,25,20,39,72,15,0
2020-04-16,100,100.0,100,80,100,74,0,0
2020-04-17,44,82.0,32,40,66,50,15,0
2020-04-18,39,76.0,25,61,43,28,36,0
2020-04-19,23,39.0,17,0,20,57,0,0
2020-04-20,10,17.0,14,13,20,49,0,0
2020-04-21,13,33.0,22,20,23,24,16,0
2020-04-22,13,84.0,7,20,15,0,32,0
