week,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-01-01 2020-01-08,Alabama,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Alaska,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Arizona,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Arkansas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,California,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Colorado,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Connecticut,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Delaware,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,District of Columbia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Florida,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Georgia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Hawaii,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Idaho,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Illinois,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Indiana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Iowa,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Kansas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Kentucky,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Louisiana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Maine,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Maryland,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Massachusetts,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Michigan,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Minnesota,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Mississippi,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Missouri,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Montana,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Nebraska,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Nevada,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Hampshire,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Jersey,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New Mexico,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,New York,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,North Carolina,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,North Dakota,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Ohio,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Oklahoma,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Oregon,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Pennsylvania,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Rhode Island,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,South Carolina,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,South Dakota,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Tennessee,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Texas,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Utah,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Vermont,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Virginia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Washington,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,West Virginia,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Wisconsin,0,0,0,0,0,0,0,0
2020-01-01 2020-01-08,Wyoming,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Alabama,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Alaska,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Arizona,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Arkansas,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,California,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Colorado,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Connecticut,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Delaware,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,District of Columbia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Florida,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Georgia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Hawaii,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Idaho,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Illinois,0,0,0,0,0,0,0,0
