date,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,avg
4/14/2020,Alabama,0,0,0,0,0,0,0,0
4/14/2020,Alaska,0,0,0,0,0,0,0,0
4/14/2020,Arizona,0,0,0,0,0,0,0,0
4/14/2020,Arkansas,0,0,0,0,0,0,0,0
4/14/2020,California,7,24,52,0,27,100,0,30
4/14/2020,Colorado,0,0,0,100,0,0,0,14.28571429
4/14/2020,Connecticut,0,0,0,0,0,0,0,0
4/14/2020,Delaware,0,0,0,0,0,0,0,0
4/14/2020,District of Columbia,0,0,0,0,0,0,0,0
4/14/2020,Florida,0,0,100,0,0,0,0,14.28571429
4/14/2020,Georgia,0,0,0,0,0,0,0,0
4/14/2020,Hawaii,0,0,0,0,0,0,0,0
4/14/2020,Idaho,100,0,0,0,0,0,0,14.28571429
4/14/2020,Illinois,0,0,0,0,0,0,0,0
4/14/2020,Indiana,0,0,0,0,97,0,0,13.85714286
4/14/2020,Iowa,0,0,0,0,0,0,0,0
4/14/2020,Kansas,0,0,0,0,0,0,0,0
4/14/2020,Kentucky,0,0,0,0,0,0,0,0
4/14/2020,Louisiana,0,0,0,0,0,0,0,0
4/14/2020,Maine,0,0,0,0,0,0,0,0
4/14/2020,Maryland,0,0,0,0,84,0,0,12
4/14/2020,Massachusetts,0,0,0,0,0,0,0,0
4/14/2020,Michigan,0,99,0,0,0,0,0,14.14285714
4/14/2020,Minnesota,26,0,0,0,0,0,0,3.714285714
4/14/2020,Mississippi,0,0,0,0,0,0,0,0
4/14/2020,Missouri,0,0,0,0,100,0,0,14.28571429
4/14/2020,Montana,0,0,0,0,0,0,0,0
4/14/2020,Nebraska,0,0,0,0,0,0,0,0
4/14/2020,Nevada,0,0,0,0,0,0,0,0
4/14/2020,New Hampshire,0,0,0,0,0,0,0,0
4/14/2020,New Jersey,0,100,0,0,0,0,0,14.28571429
4/14/2020,New Mexico,0,0,0,0,0,0,0,0
4/14/2020,New York,11,0,0,0,0,0,0,1.571428571
4/14/2020,North Carolina,15,0,0,0,54,0,0,9.857142857
4/14/2020,North Dakota,0,0,0,0,0,0,0,0
4/14/2020,Ohio,0,0,0,0,0,0,0,0
4/14/2020,Oklahoma,0,0,0,0,0,0,0,0
4/14/2020,Oregon,0,0,0,0,0,0,0,0
4/14/2020,Pennsylvania,12,0,0,0,0,0,100,16
4/14/2020,Rhode Island,0,0,0,0,0,0,0,0
4/14/2020,South Carolina,0,0,0,0,0,0,0,0
4/14/2020,South Dakota,0,0,0,0,0,0,0,0
4/14/2020,Tennessee,50,0,0,0,0,0,0,7.142857143
4/14/2020,Texas,5,0,73,0,19,0,0,13.85714286
4/14/2020,Utah,0,0,0,0,0,0,0,0
4/14/2020,Vermont,0,0,0,0,0,0,0,0
4/14/2020,Virginia,33,0,0,0,0,0,0,4.714285714
4/14/2020,Washington,0,0,0,0,76,0,0,10.85714286
4/14/2020,West Virginia,0,0,0,0,0,0,0,0
4/14/2020,Wisconsin,0,0,0,0,0,0,0,0
4/14/2020,Wyoming,0,0,0,0,0,0,0,0
4/15/2020,Alabama,23,0,0,0,0,0,0,3.285714286
4/15/2020,Alaska,0,0,0,0,0,0,0,0
4/15/2020,Arizona,0,0,0,0,0,0,0,0
4/15/2020,Arkansas,0,0,0,0,0,0,0,0
4/15/2020,California,6,19,54,0,13,54,0,20.85714286
4/15/2020,Colorado,0,0,0,64,43,0,0,15.28571429
4/15/2020,Connecticut,24,0,0,100,0,0,0,17.71428571
4/15/2020,Delaware,100,0,0,0,0,0,0,14.28571429
4/15/2020,District of Columbia,0,0,0,0,0,0,0,0
4/15/2020,Florida,8,0,0,0,16,0,0,3.428571429
4/15/2020,Georgia,8,0,0,0,23,0,0,4.428571429
4/15/2020,Hawaii,0,0,0,0,0,0,0,0
4/15/2020,Idaho,0,0,0,0,0,0,0,0
4/15/2020,Illinois,20,0,0,27,19,0,0,9.428571429
4/15/2020,Indiana,0,0,0,0,43,0,0,6.142857143
4/15/2020,Iowa,0,0,0,0,100,0,0,14.28571429
4/15/2020,Kansas,38,0,0,0,0,0,0,5.428571429
4/15/2020,Kentucky,23,0,0,0,0,0,0,3.285714286
4/15/2020,Louisiana,26,0,0,0,0,0,0,3.714285714
4/15/2020,Maine,0,0,0,0,0,0,0,0
4/15/2020,Maryland,14,0,0,0,0,0,0,2
4/15/2020,Massachusetts,12,100,0,0,34,0,0,20.85714286
4/15/2020,Michigan,9,0,0,0,26,0,0,5
4/15/2020,Minnesota,0,0,0,0,0,0,0,0
4/15/2020,Mississippi,46,0,0,0,0,0,0,6.571428571
