day,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,avg
1/24/2020,Alabama,77,0,0,0,0,0,11
1/24/2020,Alaska,0,0,0,0,0,0,0
1/24/2020,Arizona,0,0,0,0,0,0,0
1/24/2020,Arkansas,0,0,0,0,0,0,0
1/24/2020,California,8,0,0,0,0,100,29.71428571
1/24/2020,Colorado,53,0,100,80,0,0,33.28571429
1/24/2020,Connecticut,0,0,0,0,0,0,0
1/24/2020,Delaware,0,0,0,0,0,0,0
1/24/2020,District of Columbia,0,0,0,0,0,0,0
1/24/2020,Florida,0,0,0,0,0,0,0
1/24/2020,Georgia,0,0,0,40,0,0,5.714285714
1/24/2020,Hawaii,0,0,0,0,0,0,0
1/24/2020,Idaho,0,0,0,0,0,0,0
1/24/2020,Illinois,0,0,0,0,0,0,0
1/24/2020,Indiana,0,0,0,80,0,0,11.42857143
1/24/2020,Iowa,0,0,0,0,0,0,0
1/24/2020,Kansas,0,0,0,0,0,0,0
1/24/2020,Kentucky,0,0,0,0,0,0,0
1/24/2020,Louisiana,0,0,0,0,0,0,0
1/24/2020,Maine,0,0,0,0,0,0,0
1/24/2020,Maryland,0,0,0,0,0,0,0
1/24/2020,Massachusetts,41,100,0,0,0,0,20.14285714
1/24/2020,Michigan,0,0,0,0,0,0,0
1/24/2020,Minnesota,0,0,0,0,0,0,0
1/24/2020,Mississippi,0,0,0,0,0,0,0
1/24/2020,Missouri,0,0,0,0,0,0,0
1/24/2020,Montana,0,0,0,0,0,0,0
1/24/2020,Nebraska,0,0,0,0,0,0,0
1/24/2020,Nevada,0,0,0,0,0,0,0
1/24/2020,New Hampshire,0,0,0,0,0,0,0
1/24/2020,New Jersey,0,0,0,100,0,0,14.28571429
1/24/2020,New Mexico,0,0,0,0,0,0,0
1/24/2020,New York,12,0,0,18,0,0,4.285714286
1/24/2020,North Carolina,0,0,0,0,0,0,0
1/24/2020,North Dakota,0,0,0,0,0,0,0
1/24/2020,Ohio,0,0,0,40,0,0,5.714285714
1/24/2020,Oklahoma,100,0,0,0,0,0,14.28571429
1/24/2020,Oregon,0,0,0,0,0,0,0
1/24/2020,Pennsylvania,0,0,0,0,0,0,0
1/24/2020,Rhode Island,0,0,0,0,0,0,0
1/24/2020,South Carolina,0,0,0,0,0,0,0
1/24/2020,South Dakota,0,0,0,0,0,0,0
1/24/2020,Tennessee,0,0,0,0,0,0,0
1/24/2020,Texas,0,0,0,16,0,0,2.285714286
1/24/2020,Utah,0,0,0,0,0,0,0
1/24/2020,Vermont,0,0,0,0,0,0,0
1/24/2020,Virginia,33,0,0,50,0,0,11.85714286
1/24/2020,Washington,0,0,0,0,0,0,0
1/24/2020,West Virginia,0,0,0,0,0,0,0
1/24/2020,Wisconsin,59,0,0,0,0,0,8.428571429
