date,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-01-01,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,17,26,0
2020-01-11,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0
2020-01-16,0,0,7,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0
2020-01-20,2,0,0,7,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,7,0,0,25,0
2020-01-23,3,0,7,29,0,24,25,88
2020-01-24,10,11,11,42,0,0,27,0
2020-01-25,19,24,16,58,12,55,43,100
2020-01-26,23,12,12,60,11,53,83,95
2020-01-27,18,31,28,100,18,95,25,86
2020-01-28,22,31,18,93,16,64,100,85
2020-01-29,8,21,18,58,18,72,25,0
2020-01-30,6,43,11,37,8,33,26,0
2020-01-31,12,22,15,26,4,83,26,90
2020-02-01,4,12,0,37,5,0,29,0
2020-02-02,11,0,8,16,9,27,43,0
2020-02-03,12,19,17,27,8,52,35,81
2020-02-04,14,16,28,21,12,40,25,85
2020-02-05,5,11,0,22,16,40,50,0
2020-02-06,8,21,11,0,8,16,0,0
2020-02-07,10,22,0,15,9,84,39,0
2020-02-08,4,35,8,16,9,18,28,0
2020-02-09,8,18,8,24,5,18,70,0
2020-02-10,9,10,7,25,4,62,0,0
2020-02-11,7,20,10,17,8,39,24,0
2020-02-12,7,10,7,7,4,39,25,0
2020-02-13,8,11,7,18,6,40,0,0
2020-02-14,10,27,15,22,4,25,0,0
