,coronavirus,covid19,covid,nCov-2019,drinking bleach,miracle mineral solution,inhaling hot air,ibuprofen,boiled garlic,stomach acid,quarantine,colloidal silver,hydroxychloroquine,home test kit,turning off electronics,bananas,5G network,hot bath coronavirus,mosquito bites coronavirus,hand dryers coronavirus,bioweapon,Chinese bioweapon,Wuhan-400,Dean Koontz,UV lamp coronavirus,shuang huang lian,ban lan gen,cocain coronavirus,bat soup,Russian lions,Bill Gates,Dan Radcliff,Stafford Act,Severance Ling Ma,The Stand,Station Eleven,The Road,A Canticle of Leibowitz,World War Z,Swan Song,The Dog Stars,Oryx and Crake,date
2020-01-01,0,0,0,0,6,0,0,18,38,75,0,16,0,27,0,56,7,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,51,8,87,0,11,33,100,45,2020-01-01
2020-01-02,0,0,0,0,5,35,0,17,0,82,1,19,0,36,0,51,8,0,0,0,2,0,0,0,0,0,0,0,0,1,14,0,0,0,42,27,84,0,8,33,19,38,2020-01-02
2020-01-03,0,0,0,0,15,34,0,16,16,52,1,15,0,24,0,50,6,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,28,41,13,85,0,11,46,19,37,2020-01-03
2020-01-04,0,0,0,0,16,0,0,18,0,78,0,21,0,26,0,61,5,0,0,0,2,0,0,1,0,0,41,0,0,0,15,0,0,30,57,43,83,0,12,25,30,40,2020-01-04
2020-01-05,0,0,0,0,5,38,0,16,34,77,0,16,0,39,0,63,6,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,30,53,7,85,0,13,25,51,20,2020-01-05
2020-01-06,0,0,0,0,14,0,0,15,23,82,1,21,1,37,0,54,6,0,0,0,2,0,0,0,0,0,0,0,0,1,14,0,0,27,47,13,84,0,7,14,37,37,2020-01-06
2020-01-07,0,0,0,0,5,0,0,16,61,87,0,18,0,17,0,57,6,0,0,0,2,0,0,1,0,0,0,0,0,0,17,0,0,0,55,19,83,95,7,22,27,91,2020-01-07
2020-01-08,0,0,0,0,9,0,0,16,0,73,1,17,1,18,0,58,5,0,0,0,2,0,0,1,0,0,0,0,0,0,15,0,0,26,52,58,81,0,8,13,54,72,2020-01-08
2020-01-09,0,0,0,0,9,0,0,17,15,79,1,16,1,23,0,58,3,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,58,39,85,0,8,40,45,27,2020-01-09
2020-01-10,0,0,0,0,10,0,0,16,23,88,1,15,0,32,0,54,3,0,0,0,2,0,0,1,0,0,0,0,0,1,13,92,0,0,53,33,85,0,11,23,18,65,2020-01-10
2020-01-11,0,0,0,0,0,0,0,15,34,77,0,27,0,31,0,61,6,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,30,43,29,88,0,9,40,40,30,2020-01-11
2020-01-12,0,0,0,0,10,37,0,17,17,73,0,19,0,29,0,66,6,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,57,36,91,0,9,54,20,20,2020-01-12
2020-01-13,0,0,0,0,13,0,0,16,21,90,0,17,1,32,0,52,5,0,0,0,2,0,0,1,0,0,0,0,0,0,14,0,0,0,49,0,86,0,6,33,82,58,2020-01-13
2020-01-14,0,0,0,18,0,0,0,16,26,69,1,13,0,39,0,57,6,0,0,0,0,0,0,1,0,0,0,0,0,0,15,79,0,0,58,34,83,0,7,39,47,32,2020-01-14
2020-01-15,0,0,0,0,23,0,0,17,15,62,1,17,1,30,0,62,8,0,0,0,0,0,0,1,0,0,36,0,0,0,15,0,0,26,58,44,86,0,6,35,17,35,2020-01-15
2020-01-16,0,0,0,0,9,33,0,15,23,75,1,18,0,33,0,58,8,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,27,52,13,87,94,7,58,45,45,2020-01-16
2020-01-17,0,0,0,0,0,0,0,15,31,62,1,19,0,22,0,49,8,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,28,55,40,86,96,6,83,18,28,2020-01-17
2020-01-18,0,0,0,0,5,0,0,17,16,70,1,19,0,27,0,61,4,0,0,0,2,0,0,1,0,0,0,0,0,0,13,0,0,0,43,29,84,0,9,55,40,20,2020-01-18
2020-01-19,0,0,0,0,0,36,0,16,16,63,0,20,0,32,0,64,9,0,0,0,6,0,0,1,0,0,0,0,0,0,14,0,0,0,52,14,83,0,9,87,29,59,2020-01-19
2020-01-20,0,0,0,42,5,0,0,16,23,60,1,13,1,33,0,63,6,0,0,0,2,0,0,1,0,0,0,0,0,0,12,0,0,0,48,6,82,0,7,85,45,45,2020-01-20
2020-01-21,2,0,0,0,9,0,0,16,15,67,1,21,0,21,0,63,7,0,0,0,6,0,0,1,0,0,0,0,0,0,15,0,0,0,55,19,88,0,6,75,18,62,2020-01-21
2020-01-22,4,0,0,41,0,66,0,17,30,69,1,19,1,26,0,62,7,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,56,26,88,93,8,67,27,54,2020-01-22
2020-01-23,5,0,0,0,0,0,0,15,0,69,3,15,0,36,0,57,5,0,0,0,4,0,0,1,0,0,0,0,46,0,18,89,0,27,53,39,86,0,6,49,53,36,2020-01-23
2020-01-24,8,0,0,64,5,0,0,16,15,74,3,25,1,39,0,68,6,0,0,0,14,44,0,1,0,0,0,0,98,0,15,0,0,28,53,20,88,0,10,50,18,28,2020-01-24
2020-01-25,10,0,0,59,5,37,0,17,0,76,2,29,0,22,0,62,7,0,60,0,18,0,0,1,0,0,41,7,100,0,15,0,0,0,55,37,92,0,13,45,61,20,2020-01-25
2020-01-26,11,0,0,23,0,0,0,16,0,64,3,24,0,30,0,56,5,0,0,0,34,47,0,1,39,0,0,0,93,0,18,0,0,0,59,42,88,0,13,78,39,39,2020-01-26
2020-01-27,12,0,0,51,18,65,0,14,15,64,3,29,0,43,0,54,6,0,52,0,46,42,0,1,0,0,0,6,87,0,19,0,0,26,56,31,94,0,9,65,52,44,2020-01-27
2020-01-28,14,0,0,51,19,33,0,19,0,61,3,27,1,26,0,52,10,0,0,0,46,21,0,1,0,0,0,6,82,0,22,0,0,26,53,57,87,0,8,48,44,35,2020-01-28
2020-01-29,13,0,0,20,18,97,0,17,15,68,4,25,0,37,0,60,7,0,52,0,52,21,0,1,0,8,0,0,76,0,22,0,0,26,60,31,87,0,9,100,18,18,2020-01-29
2020-01-30,16,0,0,73,9,50,0,17,45,80,5,29,1,25,0,60,8,25,53,0,35,0,9,0,0,0,0,20,85,0,27,0,0,0,57,19,88,0,7,67,0,36,2020-01-30
2020-01-31,16,0,0,64,10,51,0,18,69,68,5,26,1,15,0,56,5,0,55,48,40,0,0,1,0,9,0,100,82,0,30,0,0,27,57,40,87,0,9,41,18,18,2020-01-31
2020-02-01,12,0,0,23,0,37,0,17,100,59,4,24,0,20,0,68,8,0,60,0,54,24,5,1,0,100,0,94,58,0,24,100,0,30,54,43,87,0,11,64,20,30,2020-02-01
2020-02-02,10,0,0,23,5,37,0,17,50,63,4,26,0,33,0,62,6,0,0,0,37,0,15,1,0,48,40,43,37,0,22,0,0,30,51,35,87,0,11,64,30,40,2020-02-02
2020-02-03,9,0,0,66,9,0,0,16,34,80,3,20,0,29,0,48,12,22,0,0,34,39,12,1,32,16,0,42,33,0,21,0,0,0,60,23,88,0,7,65,41,16,2020-02-03
2020-02-04,8,0,0,51,14,32,92,18,15,82,3,22,0,21,0,54,7,0,0,0,33,21,13,1,0,34,36,42,30,1,18,88,0,0,54,19,93,0,7,35,17,88,2020-02-04
2020-02-05,7,0,0,41,5,65,0,16,15,83,5,22,1,23,0,55,5,0,0,0,27,0,4,1,0,25,0,32,24,0,17,0,0,26,71,32,85,0,7,48,35,53,2020-02-05
2020-02-06,7,0,0,72,19,33,0,15,22,63,4,21,1,41,0,51,8,0,0,0,29,0,9,1,0,38,0,23,20,0,20,0,0,0,63,38,87,0,6,40,71,45,2020-02-06
2020-02-07,8,0,0,32,5,0,0,15,38,62,6,27,0,28,0,51,9,0,54,0,32,22,0,1,0,9,0,17,22,0,26,0,0,0,60,26,86,0,5,54,55,18,2020-02-07
2020-02-08,7,0,0,0,10,37,0,17,33,64,5,27,0,24,0,62,7,0,59,0,30,24,10,1,40,19,0,7,24,0,20,0,0,0,51,14,90,0,10,25,20,20,2020-02-08
2020-02-09,7,0,0,45,0,0,0,15,33,70,4,28,0,31,0,64,5,0,0,0,36,0,0,1,39,0,0,0,19,1,26,0,0,0,58,0,93,0,10,44,49,59,2020-02-09
2020-02-10,7,0,0,80,0,0,0,19,14,71,4,31,0,19,0,57,8,0,0,0,32,0,9,1,0,8,0,6,16,1,44,0,0,0,67,25,94,0,9,56,51,43,2020-02-10
2020-02-11,7,0,0,39,9,31,0,16,14,79,4,24,0,30,0,52,9,0,0,0,24,20,4,1,0,0,35,18,13,1,31,0,0,0,100,30,93,0,9,34,17,68,2020-02-11
2020-02-12,6,2,1,100,5,32,0,17,14,59,3,25,0,30,93,57,5,0,51,0,28,21,17,1,0,0,0,9,14,1,23,0,0,26,71,31,89,0,8,43,17,52,2020-02-12
2020-02-13,7,2,1,92,5,32,0,16,15,73,4,28,0,37,0,51,11,0,0,0,31,42,4,2,0,0,36,19,13,0,23,0,0,0,65,38,96,0,7,39,35,44,2020-02-13
